Species,Nb,Loci Count,Individual Count,P Value,Cycles,Decline,Power Value,Power Percent
bullT,50,200,100,0.05,5,10,548,0.548
bullT,50,200,100,0.15,5,10,826,0.826
bullT,50,200,100,0.1,5,10,740,0.74
bullT,50,200,100,0.05,7,10,967,0.967
bullT,50,200,100,0.15,7,10,996,0.996
bullT,50,200,100,0.1,7,10,991,0.991
bullT,50,200,25,0.05,10,10,809,0.809
bullT,50,200,25,0.15,10,10,948,0.948
bullT,50,200,25,0.1,10,10,909,0.909
bullT,50,200,25,0.05,5,10,109,0.109
bullT,50,200,25,0.15,5,10,282,0.282
bullT,50,200,25,0.1,5,10,196,0.196
bullT,50,200,25,0.05,7,10,316,0.316
bullT,50,200,25,0.15,7,10,577,0.577
bullT,50,200,25,0.1,7,10,467,0.467
bullT,50,200,50,0.05,10,10,998,0.998
bullT,50,200,50,0.15,10,10,1000,1.0
bullT,50,200,50,0.1,10,10,1000,1.0
bullT,50,200,50,0.05,5,10,252,0.252
bullT,50,200,50,0.15,5,10,522,0.522
bullT,50,200,50,0.1,5,10,423,0.423
bullT,50,200,50,0.05,7,10,719,0.719
bullT,50,200,50,0.15,7,10,911,0.911
bullT,50,200,50,0.1,7,10,865,0.865
bullT,50,200,100,0.05,10,15,1000,1.0
bullT,50,200,100,0.15,10,15,1000,1.0
bullT,50,200,100,0.1,10,15,1000,1.0
bullT,50,200,100,0.05,5,15,817,0.817
bullT,50,200,100,0.15,5,15,977,0.977
bullT,50,200,100,0.1,5,15,941,0.941
bullT,50,200,100,0.05,7,15,1000,1.0
bullT,50,200,100,0.15,7,15,1000,1.0
bullT,50,200,100,0.1,7,15,1000,1.0
bullT,50,200,25,0.05,10,15,996,0.996
bullT,50,200,25,0.15,10,15,1000,1.0
bullT,50,200,25,0.1,10,15,1000,1.0
bullT,50,200,25,0.05,5,15,202,0.202
bullT,50,200,25,0.15,5,15,494,0.494
bullT,50,200,25,0.1,5,15,378,0.378
bullT,50,200,25,0.05,7,15,668,0.668
bullT,50,200,25,0.15,7,15,888,0.888
bullT,50,200,25,0.1,7,15,816,0.816
bullT,50,200,50,0.05,10,15,1000,1.0
bullT,50,200,50,0.15,10,15,1000,1.0
bullT,50,200,50,0.1,10,15,1000,1.0
bullT,50,200,50,0.05,5,15,511,0.511
bullT,50,200,50,0.15,5,15,831,0.831
bullT,50,200,50,0.1,5,15,724,0.724
bullT,50,200,50,0.05,7,15,972,0.972
bullT,50,200,50,0.15,7,15,998,0.998
bullT,50,200,50,0.1,7,15,995,0.995
bullT,50,200,100,0.05,10,5,943,0.943
bullT,50,200,100,0.15,10,5,980,0.98
bullT,50,200,100,0.1,10,5,967,0.967
bullT,50,200,100,0.05,5,5,184,0.184
bullT,50,200,100,0.15,5,5,405,0.405
bullT,50,200,100,0.1,5,5,323,0.323
bullT,50,200,100,0.05,7,5,521,0.521
bullT,50,200,100,0.15,7,5,732,0.732
bullT,50,200,100,0.1,7,5,654,0.654
bullT,50,200,25,0.05,10,5,271,0.271
bullT,50,200,25,0.15,10,5,515,0.515
bullT,50,200,25,0.1,10,5,412,0.412
bullT,50,200,25,0.05,5,5,46,0.046
bullT,50,200,25,0.15,5,5,126,0.126
bullT,50,200,25,0.1,5,5,89,0.089
bullT,50,200,25,0.05,7,5,106,0.106
bullT,50,200,25,0.15,7,5,266,0.266
bullT,50,200,25,0.1,7,5,191,0.191
bullT,50,200,50,0.05,10,5,628,0.628
bullT,50,200,50,0.15,10,5,857,0.857
bullT,50,200,50,0.1,10,5,787,0.787
bullT,50,200,50,0.05,5,5,88,0.088
bullT,50,200,50,0.15,5,5,210,0.21
bullT,50,200,50,0.1,5,5,168,0.168
bullT,50,200,50,0.05,7,5,221,0.221
bullT,50,200,50,0.15,7,5,439,0.439
bullT,50,200,50,0.1,7,5,341,0.341
bullT,50,200,100,0.05,10,7,995,0.995
bullT,50,200,100,0.15,10,7,999,0.999
bullT,50,200,100,0.1,10,7,999,0.999
bullT,50,200,100,0.05,5,7,285,0.285
bullT,50,200,100,0.15,5,7,570,0.57
bullT,50,200,100,0.1,5,7,457,0.457
bullT,50,200,100,0.05,7,7,767,0.767
bullT,50,200,100,0.15,7,7,940,0.94
bullT,50,200,100,0.1,7,7,889,0.889
bullT,50,200,25,0.05,10,7,498,0.498
bullT,50,200,25,0.15,10,7,757,0.757
bullT,50,200,25,0.1,10,7,684,0.684
bullT,50,200,25,0.05,5,7,69,0.069
bullT,50,200,25,0.15,5,7,210,0.21
bullT,50,200,25,0.1,5,7,155,0.155
bullT,50,200,25,0.05,7,7,171,0.171
bullT,50,200,25,0.15,7,7,373,0.373
bullT,50,200,25,0.1,7,7,285,0.285
bullT,50,200,50,0.05,10,7,913,0.913
bullT,50,200,50,0.15,10,7,979,0.979
bullT,50,200,50,0.1,10,7,959,0.959
bullT,50,200,50,0.05,5,7,155,0.155
bullT,50,200,50,0.15,5,7,357,0.357
bullT,50,200,50,0.1,5,7,250,0.25
bullT,50,200,50,0.05,7,7,417,0.417
bullT,50,200,50,0.15,7,7,677,0.677
bullT,50,200,50,0.1,7,7,584,0.584
bullT,50,400,100,0.05,10,0,900,0.9
bullT,50,400,100,0.15,10,0,764,0.764
bullT,50,400,100,0.1,10,0,823,0.823
bullT,50,400,100,0.05,5,0,929,0.929
bullT,50,400,100,0.15,5,0,819,0.819
bullT,50,400,100,0.1,5,0,867,0.867
bullT,50,400,100,0.05,7,0,919,0.919
bullT,50,400,100,0.15,7,0,792,0.792
bullT,50,400,100,0.1,7,0,852,0.852
bullT,50,400,25,0.05,10,0,955,0.955
bullT,50,400,25,0.15,10,0,855,0.855
bullT,50,400,25,0.1,10,0,901,0.901
bullT,50,400,25,0.05,5,0,946,0.946
bullT,50,400,25,0.15,5,0,848,0.848
bullT,50,400,25,0.1,5,0,901,0.901
bullT,50,400,25,0.05,7,0,955,0.955
bullT,50,400,25,0.15,7,0,845,0.845
bullT,50,400,25,0.1,7,0,908,0.908
bullT,50,400,50,0.05,10,0,927,0.927
bullT,50,400,50,0.15,10,0,805,0.805
bullT,50,400,50,0.1,10,0,859,0.859
bullT,50,400,50,0.05,5,0,939,0.939
bullT,50,400,50,0.15,5,0,834,0.834
bullT,50,400,50,0.1,5,0,897,0.897
bullT,50,400,50,0.05,7,0,944,0.944
bullT,50,400,50,0.15,7,0,825,0.825
bullT,50,400,50,0.1,7,0,882,0.882
bullT,50,400,100,0.05,10,10,1000,1.0
bullT,50,400,100,0.15,10,10,1000,1.0
bullT,50,400,100,0.1,10,10,1000,1.0
bullT,50,400,100,0.05,5,10,691,0.691
bullT,50,400,100,0.15,5,10,907,0.907
bullT,50,400,100,0.1,5,10,854,0.854
bullT,50,400,100,0.05,7,10,991,0.991
bullT,50,400,100,0.15,7,10,999,0.999
bullT,50,400,100,0.1,7,10,997,0.997
bullT,50,400,25,0.05,10,10,927,0.927
bullT,50,400,25,0.15,10,10,988,0.988
bullT,50,400,25,0.1,10,10,981,0.981
bullT,50,400,25,0.05,5,10,124,0.124
bullT,50,400,25,0.15,5,10,335,0.335
bullT,50,400,25,0.1,5,10,245,0.245
bullT,50,400,25,0.05,7,10,401,0.401
bullT,50,400,25,0.15,7,10,680,0.68
bullT,50,400,25,0.1,7,10,575,0.575
bullT,50,400,50,0.05,10,10,999,0.999
bullT,50,400,50,0.15,10,10,1000,1.0
bullT,50,400,50,0.1,10,10,999,0.999
bullT,50,400,50,0.05,5,10,319,0.319
bullT,50,400,50,0.15,5,10,613,0.613
bullT,50,400,50,0.1,5,10,505,0.505
bullT,50,400,50,0.05,7,10,827,0.827
bullT,50,400,50,0.15,7,10,963,0.963
bullT,50,400,50,0.1,7,10,925,0.925
bullT,50,400,100,0.05,10,15,1000,1.0
bullT,50,400,100,0.15,10,15,1000,1.0
bullT,50,400,100,0.1,10,15,1000,1.0
bullT,50,400,100,0.05,5,15,931,0.931
bullT,50,400,100,0.15,5,15,996,0.996
bullT,50,400,100,0.1,5,15,989,0.989
bullT,50,400,100,0.05,7,15,1000,1.0
bullT,50,400,100,0.15,7,15,1000,1.0
bullT,50,400,100,0.1,7,15,1000,1.0
bullT,50,400,25,0.05,10,15,1000,1.0
bullT,50,400,25,0.15,10,15,1000,1.0
bullT,50,400,25,0.1,10,15,1000,1.0
bullT,50,400,25,0.05,5,15,268,0.268
bullT,50,400,25,0.15,5,15,568,0.568
bullT,50,400,25,0.1,5,15,435,0.435
bullT,50,400,25,0.05,7,15,784,0.784
bullT,50,400,25,0.15,7,15,954,0.954
bullT,50,400,25,0.1,7,15,908,0.908
bullT,50,400,50,0.05,10,15,1000,1.0
bullT,50,400,50,0.15,10,15,1000,1.0
bullT,50,400,50,0.1,10,15,1000,1.0
bullT,50,400,50,0.05,5,15,627,0.627
bullT,50,400,50,0.15,5,15,908,0.908
bullT,50,400,50,0.1,5,15,815,0.815
bullT,50,400,50,0.05,7,15,992,0.992
bullT,50,400,50,0.15,7,15,999,0.999
bullT,50,400,50,0.1,7,15,997,0.997
bullT,50,400,100,0.05,10,5,978,0.978
bullT,50,400,100,0.15,10,5,997,0.997
bullT,50,400,100,0.1,10,5,994,0.994
bullT,50,400,100,0.05,5,5,215,0.215
bullT,50,400,100,0.15,5,5,470,0.47
bullT,50,400,100,0.1,5,5,357,0.357
bullT,50,400,100,0.05,7,5,623,0.623
bullT,50,400,100,0.15,7,5,837,0.837
bullT,50,400,100,0.1,7,5,776,0.776
bullT,50,400,25,0.05,10,5,385,0.385
bullT,50,400,25,0.15,10,5,625,0.625
bullT,50,400,25,0.1,10,5,526,0.526
bullT,50,400,25,0.05,5,5,63,0.063
bullT,50,400,25,0.15,5,5,175,0.175
bullT,50,400,25,0.1,5,5,115,0.115
bullT,50,400,25,0.05,7,5,147,0.147
bullT,50,400,25,0.15,7,5,305,0.305
bullT,50,400,25,0.1,7,5,229,0.229
bullT,50,400,50,0.05,10,5,808,0.808
bullT,50,400,50,0.15,10,5,930,0.93
bullT,50,400,50,0.1,10,5,895,0.895
bullT,50,400,50,0.05,5,5,102,0.102
bullT,50,400,50,0.15,5,5,258,0.258
bullT,50,400,50,0.1,5,5,182,0.182
bullT,50,400,50,0.05,7,5,338,0.338
bullT,50,400,50,0.15,7,5,575,0.575
bullT,50,400,50,0.1,7,5,471,0.471
bullT,50,400,100,0.05,10,7,1000,1.0
bullT,50,400,100,0.15,10,7,1000,1.0
bullT,50,400,100,0.1,10,7,1000,1.0
bullT,50,400,100,0.05,5,7,416,0.416
bullT,50,400,100,0.15,5,7,697,0.697
bullT,50,400,100,0.1,5,7,578,0.578
bullT,50,400,100,0.05,7,7,892,0.892
bullT,50,400,100,0.15,7,7,977,0.977
bullT,50,400,100,0.1,7,7,952,0.952
bullT,50,400,25,0.05,10,7,643,0.643
bullT,50,400,25,0.15,10,7,866,0.866
bullT,50,400,25,0.1,10,7,794,0.794
bullT,50,400,25,0.05,5,7,89,0.089
bullT,50,400,25,0.15,5,7,214,0.214
bullT,50,400,25,0.1,5,7,155,0.155
bullT,50,400,25,0.05,7,7,210,0.21
bullT,50,400,25,0.15,7,7,444,0.444
bullT,50,400,25,0.1,7,7,341,0.341
bullT,50,400,50,0.05,10,7,969,0.969
bullT,50,400,50,0.15,10,7,997,0.997
bullT,50,400,50,0.1,10,7,994,0.994
bullT,50,400,50,0.05,5,7,181,0.181
bullT,50,400,50,0.15,5,7,389,0.389
bullT,50,400,50,0.1,5,7,295,0.295
bullT,50,400,50,0.05,7,7,531,0.531
bullT,50,400,50,0.15,7,7,809,0.809
bullT,50,400,50,0.1,7,7,718,0.718
