Species,Nb,Loci Count,Individual Count,P Value,Cycles,Decline,Power Value,Power Percent
bullT,100,100,100,0.05,7,7,389,0.389
bullT,100,100,100,0.15,7,7,653,0.653
bullT,100,100,100,0.1,7,7,551,0.551
bullT,100,100,25,0.05,10,7,122,0.122
bullT,100,100,25,0.15,10,7,325,0.325
bullT,100,100,25,0.1,10,7,248,0.248
bullT,100,100,25,0.05,5,7,38,0.038
bullT,100,100,25,0.15,5,7,119,0.119
bullT,100,100,25,0.1,5,7,71,0.071
bullT,100,100,25,0.05,7,7,54,0.054
bullT,100,100,25,0.15,7,7,197,0.197
bullT,100,100,25,0.1,7,7,114,0.114
bullT,100,100,50,0.05,10,7,473,0.473
bullT,100,100,50,0.15,10,7,730,0.73
bullT,100,100,50,0.1,10,7,640,0.64
bullT,100,100,50,0.05,5,7,56,0.056
bullT,100,100,50,0.15,5,7,179,0.179
bullT,100,100,50,0.1,5,7,121,0.121
bullT,100,100,50,0.05,7,7,166,0.166
bullT,100,100,50,0.15,7,7,364,0.364
bullT,100,100,50,0.1,7,7,272,0.272
bullT,100,200,100,0.05,10,0,931,0.931
bullT,100,200,100,0.15,10,0,812,0.812
bullT,100,200,100,0.1,10,0,865,0.865
bullT,100,200,100,0.05,5,0,958,0.958
bullT,100,200,100,0.15,5,0,865,0.865
bullT,100,200,100,0.1,5,0,907,0.907
bullT,100,200,100,0.05,7,0,947,0.947
bullT,100,200,100,0.15,7,0,844,0.844
bullT,100,200,100,0.1,7,0,893,0.893
bullT,100,200,25,0.05,10,0,953,0.953
bullT,100,200,25,0.15,10,0,852,0.852
bullT,100,200,25,0.1,10,0,910,0.91
bullT,100,200,25,0.05,5,0,957,0.957
bullT,100,200,25,0.15,5,0,846,0.846
bullT,100,200,25,0.1,5,0,906,0.906
bullT,100,200,25,0.05,7,0,952,0.952
bullT,100,200,25,0.15,7,0,860,0.86
bullT,100,200,25,0.1,7,0,901,0.901
bullT,100,200,50,0.05,10,0,953,0.953
bullT,100,200,50,0.15,10,0,843,0.843
bullT,100,200,50,0.1,10,0,900,0.9
bullT,100,200,50,0.05,5,0,951,0.951
bullT,100,200,50,0.15,5,0,856,0.856
bullT,100,200,50,0.1,5,0,914,0.914
bullT,100,200,50,0.05,7,0,950,0.95
bullT,100,200,50,0.15,7,0,853,0.853
bullT,100,200,50,0.1,7,0,898,0.898
bullT,100,200,100,0.05,10,10,1000,1.0
bullT,100,200,100,0.15,10,10,1000,1.0
bullT,100,200,100,0.1,10,10,1000,1.0
bullT,100,200,100,0.05,5,10,380,0.38
bullT,100,200,100,0.15,5,10,687,0.687
bullT,100,200,100,0.1,5,10,565,0.565
bullT,100,200,100,0.05,7,10,920,0.92
bullT,100,200,100,0.15,7,10,993,0.993
bullT,100,200,100,0.1,7,10,978,0.978
bullT,100,200,25,0.05,10,10,532,0.532
bullT,100,200,25,0.15,10,10,795,0.795
bullT,100,200,25,0.1,10,10,693,0.693
bullT,100,200,25,0.05,5,10,66,0.066
bullT,100,200,25,0.15,5,10,184,0.184
bullT,100,200,25,0.1,5,10,122,0.122
bullT,100,200,25,0.05,7,10,167,0.167
bullT,100,200,25,0.15,7,10,382,0.382
bullT,100,200,25,0.1,7,10,276,0.276
bullT,100,200,50,0.05,10,10,980,0.98
bullT,100,200,50,0.15,10,10,999,0.999
bullT,100,200,50,0.1,10,10,995,0.995
bullT,100,200,50,0.05,5,10,160,0.16
bullT,100,200,50,0.15,5,10,400,0.4
bullT,100,200,50,0.1,5,10,301,0.301
bullT,100,200,50,0.05,7,10,544,0.544
bullT,100,200,50,0.15,7,10,807,0.807
bullT,100,200,50,0.1,7,10,719,0.719
bullT,100,200,100,0.05,10,15,1000,1.0
bullT,100,200,100,0.15,10,15,1000,1.0
bullT,100,200,100,0.1,10,15,1000,1.0
bullT,100,200,100,0.05,5,15,736,0.736
bullT,100,200,100,0.15,5,15,953,0.953
bullT,100,200,100,0.1,5,15,906,0.906
bullT,100,200,100,0.05,7,15,1000,1.0
bullT,100,200,100,0.15,7,15,1000,1.0
bullT,100,200,100,0.1,7,15,1000,1.0
bullT,100,200,25,0.05,10,15,923,0.923
bullT,100,200,25,0.15,10,15,989,0.989
bullT,100,200,25,0.1,10,15,972,0.972
